gene	cog_category
Pk_ctg1_651	NT
Pk_ctg1_652	S
Pk_ctg1_653	E
Pk_ctg1_654	K
Pk_ctg1_655	K
Pk_ctg1_656	No_COG
Pk_ctg1_657	M
Pk_ctg1_658	E
Pk_ctg1_659	K
Pk_ctg1_660	NT
Pk_ctg1_661	EGP
Pk_ctg1_662	J
Pk_ctg1_663	J
Pk_ctg1_664	J
Pk_ctg1_665	F
Pk_ctg1_666	No_COG
Pk_ctg1_667	F
Pk_ctg1_668	M
Pk_ctg1_669	U
Pk_ctg1_670	H
Pk_ctg1_671	J
Pk_ctg1_672	J
Pk_ctg1_673	H
Pk_ctg1_674	M
Pk_ctg1_675	M
Pk_ctg1_676	S
Pk_ctg1_677	S
Pk_ctg1_678	M
Pk_ctg1_679	S
Pk_ctg1_680	S
Pk_ctg1_681	S
Pk_ctg1_682	S
Pk_ctg1_683	L
Pk_ctg1_684	K
Pk_ctg1_685	S
Pk_ctg1_686	S
Pk_ctg1_687	H
Pk_ctg1_688	S
Pk_ctg1_689	H
Pk_ctg1_690	F
Pk_ctg1_691	F
Pk_ctg1_692	F
Pk_ctg1_693	No_COG
Pk_ctg1_694	S
Pk_ctg1_695	C
Pk_ctg1_696	No_COG
Pk_ctg1_697	M
Pk_ctg1_698	No_COG
Pk_ctg1_699	No_COG
Pk_ctg1_700	I
Pk_ctg1_701	S
Pk_ctg1_702	S
Pk_ctg1_703	E
Pk_ctg1_704	NT
Pk_ctg1_705	M
Pk_ctg1_706	S
Pk_ctg1_707	J
Pk_ctg1_708	CH
Pk_ctg1_709	E
Pk_ctg1_710	K
Pk_ctg1_711	G
Pk_ctg1_712	IQ
Pk_ctg1_713	M
Pk_ctg1_714	S
Pk_ctg1_715	K
Pk_ctg1_716	P
Pk_ctg1_717	M
Pk_ctg1_718	S
Pk_ctg1_719	S
Pk_ctg1_720	J
Pk_ctg1_721	D
Pk_ctg1_722	K
Pk_ctg1_723	I
Pk_ctg1_724	C
Pk_ctg1_725	J
Pk_ctg1_726	J
Pk_ctg1_727	C
Pk_ctg1_728	C
Pk_ctg1_729	P
Pk_ctg1_730	O
Pk_ctg1_731	S
Pk_ctg1_732	S
Pk_ctg1_733	G
Pk_ctg1_734	L
Pk_ctg1_735	M
Pk_ctg1_736	H
Pk_ctg1_737	K
Pk_ctg1_738	J
Pk_ctg1_739	D
Pk_ctg1_740	D
Pk_ctg1_741	M
Pk_ctg1_742	M
Pk_ctg1_743	M
Pk_ctg1_744	M
Pk_ctg1_745	D
Pk_ctg1_746	M
Pk_ctg1_747	M
Pk_ctg1_748	F
Pk_ctg1_749	D
Pk_ctg1_750	D
Pk_ctg1_751	D
Pk_ctg1_752	M
Pk_ctg1_753	T
Pk_ctg1_754	M
Pk_ctg1_755	No_COG
Pk_ctg1_756	No_COG
Pk_ctg1_757	T
Pk_ctg1_758	K
Pk_ctg1_759	V
Pk_ctg1_760	M
Pk_ctg1_761	L
Pk_ctg1_762	No_COG
Pk_ctg1_763	No_COG
Pk_ctg1_764	No_COG
Pk_ctg1_765	S
Pk_ctg1_766	No_COG
Pk_ctg1_767	K
Pk_ctg1_768	T
Pk_ctg1_769	KT
Pk_ctg1_770	C
Pk_ctg1_771	O
Pk_ctg1_772	C
Pk_ctg1_773	C
Pk_ctg1_774	C
Pk_ctg1_775	C
Pk_ctg1_776	O
Pk_ctg1_777	J
Pk_ctg1_778	No_COG
Pk_ctg1_779	No_COG
Pk_ctg1_780	K
Pk_ctg1_781	K
Pk_ctg1_782	E
Pk_ctg1_783	P
Pk_ctg1_784	No_COG
Pk_ctg1_785	No_COG
Pk_ctg1_786	No_COG
Pk_ctg1_787	S
Pk_ctg1_788	No_COG
Pk_ctg1_789	S
Pk_ctg1_790	O
Pk_ctg1_791	S
Pk_ctg1_792	No_COG
Pk_ctg1_793	T
Pk_ctg1_794	No_COG
Pk_ctg1_795	No_COG
Pk_ctg1_796	No_COG
Pk_ctg1_797	L
Pk_ctg1_798	S
Pk_ctg1_799	No_COG
Pk_ctg1_800	No_COG
Pk_ctg1_801	No_COG
Pk_ctg1_802	No_COG
Pk_ctg1_803	K
Pk_ctg1_804	No_COG
Pk_ctg1_805	L
Pk_ctg1_806	J
Pk_ctg1_807	F
Pk_ctg1_808	U
Pk_ctg1_809	U
Pk_ctg1_810	U
Pk_ctg1_811	S
Pk_ctg1_812	G
Pk_ctg1_813	J
Pk_ctg1_814	E
Pk_ctg1_815	K
Pk_ctg1_816	E
Pk_ctg1_817	C
Pk_ctg1_818	S
Pk_ctg1_819	O
Pk_ctg1_820	O
Pk_ctg1_821	C
Pk_ctg1_822	S
Pk_ctg1_823	F
Pk_ctg1_824	J
Pk_ctg1_825	NU
Pk_ctg1_826	S
Pk_ctg1_827	I
Pk_ctg1_828	J
Pk_ctg1_829	S
Pk_ctg1_830	M
Pk_ctg1_831	S
Pk_ctg1_832	E
Pk_ctg1_833	S
Pk_ctg1_834	E
Pk_ctg1_835	M
Pk_ctg1_836	L
Pk_ctg1_837	K
Pk_ctg1_838	S
Pk_ctg1_839	S
Pk_ctg1_840	F
Pk_ctg1_841	F
Pk_ctg1_842	No_COG
Pk_ctg1_843	M
Pk_ctg1_844	K
Pk_ctg1_845	G
Pk_ctg1_846	G
Pk_ctg1_847	M
Pk_ctg1_848	G
Pk_ctg1_849	G
Pk_ctg1_850	Q
Pk_ctg1_851	FJ
Pk_ctg1_852	J
Pk_ctg1_853	J
Pk_ctg1_854	S
Pk_ctg1_855	S
Pk_ctg1_856	O
Pk_ctg1_857	No_COG
Pk_ctg1_858	No_COG
Pk_ctg1_859	No_COG
Pk_ctg1_860	G
Pk_ctg1_861	M
Pk_ctg1_862	S
Pk_ctg1_863	C
Pk_ctg1_864	P
Pk_ctg1_865	K
Pk_ctg1_866	S
Pk_ctg1_867	NU
Pk_ctg1_868	No_COG
Pk_ctg1_869	M
Pk_ctg1_870	S
Pk_ctg1_871	No_COG
Pk_ctg1_872	S
Pk_ctg1_873	M
Pk_ctg1_874	E
Pk_ctg1_875	E
Pk_ctg1_876	K
Pk_ctg1_877	S
Pk_ctg1_878	E
Pk_ctg1_879	L
Pk_ctg1_880	E
Pk_ctg1_881	M
Pk_ctg1_882	K
Pk_ctg1_883	No_COG
Pk_ctg1_884	No_COG
Pk_ctg1_885	S
Pk_ctg1_886	Q
Pk_ctg1_887	S
Pk_ctg1_888	T
Pk_ctg1_889	T
Pk_ctg1_890	E
Pk_ctg1_891	P
Pk_ctg1_892	P
Pk_ctg1_893	ET
Pk_ctg1_894	C
Pk_ctg1_895	K
Pk_ctg1_896	F
Pk_ctg1_897	U
Pk_ctg1_898	S
Pk_ctg1_899	S
Pk_ctg1_900	P
Pk_ctg1_901	E
Pk_ctg1_902	No_COG
Pk_ctg1_903	C
Pk_ctg1_904	C
Pk_ctg1_905	P
Pk_ctg1_906	P
Pk_ctg1_907	O
Pk_ctg1_908	L
Pk_ctg1_909	F
Pk_ctg1_910	M
Pk_ctg1_911	E
Pk_ctg1_912	S
Pk_ctg1_913	K
Pk_ctg1_914	No_COG
Pk_ctg1_915	L
Pk_ctg1_916	U
Pk_ctg1_917	C
Pk_ctg1_918	C
Pk_ctg1_919	C
Pk_ctg1_920	C
Pk_ctg1_921	J
Pk_ctg1_922	D
Pk_ctg1_923	IQ
Pk_ctg1_924	P
Pk_ctg1_925	S
Pk_ctg1_926	O
Pk_ctg1_927	O
Pk_ctg1_928	S
Pk_ctg1_929	M
Pk_ctg1_930	K
Pk_ctg1_931	T
Pk_ctg1_932	Q
Pk_ctg1_933	T
Pk_ctg1_934	No_COG
Pk_ctg1_935	V
Pk_ctg1_936	M
Pk_ctg1_937	S
Pk_ctg1_938	S
Pk_ctg1_939	C
Pk_ctg1_940	P
Pk_ctg1_941	T
Pk_ctg1_942	C
Pk_ctg1_943	S
Pk_ctg1_944	S
Pk_ctg1_945	K
Pk_ctg1_946	M
Pk_ctg1_947	H
Pk_ctg1_948	T
Pk_ctg1_949	P
Pk_ctg1_950	CH
Pk_ctg1_951	K
Pk_ctg1_952	No_COG
Pk_ctg1_953	K
Pk_ctg1_954	S
Pk_ctg1_955	S
Pk_ctg1_956	K
Pk_ctg1_957	EH
Pk_ctg1_958	C
Pk_ctg1_959	K
Pk_ctg1_960	S
Pk_ctg1_961	No_COG
Pk_ctg1_962	S
Pk_ctg1_963	No_COG
Pk_ctg1_964	S
Pk_ctg1_965	EGP
Pk_ctg1_966	T
Pk_ctg1_967	T
Pk_ctg1_968	M
Pk_ctg1_969	M
Pk_ctg1_970	M
Pk_ctg1_971	C
Pk_ctg1_972	T
Pk_ctg1_973	C
Pk_ctg1_974	I
Pk_ctg1_975	G
Pk_ctg1_976	No_COG
Pk_ctg1_977	S
Pk_ctg1_978	M
Pk_ctg1_979	S
Pk_ctg1_980	MU
Pk_ctg1_981	MU
Pk_ctg1_982	No_COG
Pk_ctg1_983	S
Pk_ctg1_984	S
Pk_ctg1_985	M
Pk_ctg1_986	S
Pk_ctg1_987	S
Pk_ctg1_988	S
Pk_ctg1_989	L
Pk_ctg1_990	S
Pk_ctg1_991	F
Pk_ctg1_992	No_COG
Pk_ctg1_993	S
Pk_ctg1_994	S
Pk_ctg1_995	M
Pk_ctg1_996	NT
Pk_ctg1_997	S
Pk_ctg1_998	S
Pk_ctg1_999	U
Pk_ctg1_1000	E
Pk_ctg1_1001	O
Pk_ctg1_1002	HL
Pk_ctg1_1003	S
Pk_ctg1_1004	T
Pk_ctg1_1005	H
Pk_ctg1_1006	S
Pk_ctg1_1007	M
Pk_ctg1_1008	S
Pk_ctg1_1009	FG
Pk_ctg1_1010	S
Pk_ctg1_1011	K
Pk_ctg1_1012	P
Pk_ctg1_1013	O
Pk_ctg1_1014	S
Pk_ctg1_1015	J
Pk_ctg1_1016	K
Pk_ctg1_1017	L
Pk_ctg1_1018	L
Pk_ctg1_1019	L
Pk_ctg1_1020	S
Pk_ctg1_1021	U
Pk_ctg1_1022	U
Pk_ctg1_1023	M
Pk_ctg1_1024	U
Pk_ctg1_1025	M
Pk_ctg1_1026	D
Pk_ctg1_1027	H
Pk_ctg1_1028	F
Pk_ctg1_1029	H
Pk_ctg1_1030	S
Pk_ctg1_1031	K
Pk_ctg1_1032	E
Pk_ctg1_1033	E
Pk_ctg1_1034	E
Pk_ctg1_1035	E
Pk_ctg1_1036	K
Pk_ctg1_1037	S
Pk_ctg1_1038	E
Pk_ctg1_1039	E
Pk_ctg1_1040	E
Pk_ctg1_1041	E
Pk_ctg1_1042	E
Pk_ctg1_1043	FL
Pk_ctg1_1044	C
Pk_ctg1_1045	NT
